"","key_pin","pi_ns","address","tax_district","classes","subclass2","land_total_sf","gba","market_value","x2026_partial_value","x2026_partial_value_reason","sheet_name","file_name","idph_number","bldg_sf","units_beds","revenue_bed_night","est_pgi","est_vacancy_percent","exp_percent","noi","cap_rate","tax_load","loaded_cap","final_mv_bed","year_blt","investment_rating","adj_rent_sf","pgi","v_c","egi","percent_exp","l_b_ratio","excess_land_area","excess_land_value","final_mv_sf","studios","x1br","x2br","x3br","x4br","mobile_home_pads","comm_sf","adjusted_pgi","final_mv_unit","nbhd","town_region","total_land_val","impr_name","units_keys","rev_key_night","occupancy","rev_par","total_rev","ebitda_noi","final_mv_key"
"1","16-19-100-001-0000","16-19-100-001-0000","7143  ROOSEVELT BERWYN","11001","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","13452","1129","586000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","16-19-108-042-0000","16-19-108-042-0000","1345  HARLEM BERWYN","11001","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","20199","2800","774000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","16-19-207-048-0000","16-19-207-048-0000","6405  ROOSEVELT BERWYN","11011","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","20031","2253","960000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","16-19-307-038-0000","16-19-307-038-0000","1600  OAK PARK BERWYN","11001","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","10722","1792","519000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","16-19-407-058-0000","16-19-407-058-0000","1600  RIDGELAND BERWYN","11001","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","14966","1382","724000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","16-20-100-031-0000","16-20-100-031-0000","6347  ROOSEVELT BERWYN","11011","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","7625","829","326000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","16-20-126-039-0000","16-20-126-039-0000 16-20-126-040-0000","1544  LOMBARD BERWYN","11001","5-23 5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","7522","1898","286000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","16-29-124-035-0000","16-29-124-035-0000","6345  26TH BERWYN","11002","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","12500","1500","605000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","16-30-200-043-0000","16-30-200-016-0000 16-30-200-043-0000","6705  CERMAK BERWYN","11032","5-23 5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","19561","4520","1250000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","16-30-314-020-0000","16-30-314-019-0000 16-30-314-020-0000 16-30-314-021-0000 16-30-314-022-0000 16-30-314-023-0000","2945 S HARLEM BERWYN","11032","5-90 5-23 5-23 5-23 5-90","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","17479","2500","893000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
